Project Name,RERA Reg. No.,Project Address,Taluka,District,State,Project Type,About Property,Project Start Date,Project End Date,Project Land Area,Total Open Area,Total Covered Area,Carpet Area of Units (Range),Plan Passing Authority,Redevelopment Project,Affordable Housing,Amenities,Unit Type,Block,Total Units,Available Units,Total No. of Towers/Blocks,Promoter Name,Promoter Type,Contact,Email Id,Address,Office Address,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Project Estimated Cost (Rs.),Percentage Loan Against Project Estimated Cost,Total Quarterly Compliance Required,Total Complied Quarters,Total Quarterly Compliance Defaulted,Total Annual Compliance Required,Total Complied Annual Compliance,Total Annual Compliance Defaulted,Project Status,Website,Approved Date,Partner 6,Partner 7,Partner 8,Partner 9,Pincode,Partner 10,Partner 11,Partner 12,Partner 13,Partner 14,Partner 15,Partner 16
SANTERIAN GLORY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03852/EX1/230519,"S.P.9, GIRIRAJ COLONY, PANCHWATI 2nd LANE, AMBAWADI",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 & 4 BHK RESIDENTIAL FLATS,10-05-2018,31-03-2020,"580 Sq Mtrs
Total Open Area:- 278.18 Sq Mtrs
Total Covered Area:- 301.82 Sq Mtrs","278.18 Sq Mtrs
Total Covered Area:- 301.82 Sq Mtrs",301.82 Sq Mtrs,121.01 Sq Mts - 148.26 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,Water Conservation,Residential,Santerian Glory,10,6,1,"CHIRAG SHAH, Prop. Shri Parshwa Developers",Individual/Propritorship,9377063000,chirag.1969@rediffmail.com,"3, SUKRUT FLAT, VASANTKUNJ SOCIETY, PALDI Gujarat Ahmedabad 380007","S.P.9, GIRIRAJ COLONY,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
No partners Present.
Project Estimated Cost (Rs.):- 10,59,02,000 Percentage Loan Against Project Estimated Cost :- 0 %",,,,,,"10,59,02,000",0%,6,6,NIL,2,1,NIL,New,www.mokshabuildcon.com,26-10-2018,,,,,380006,,,,,,,
SARANSH II THE BUSINESS HUB,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05461/180519,FP 433 PAIKI BESIDE ARORAVIHAR FLAT OPP ASHARFI OUTLET OPP CHADAVAD POLICE CHOWKI BHUDARPURA ROAD AMBAWADI AHMEDABAD-380015,Ahmedabad City,Ahmedabad,Gujarat,Commercial,COMMERCIAL PROJECT UNIT 47,18-12-2018,01-08-2021,"791 Sq Mtrs
Total Open Area:- 470 Sq Mtrs
Total Covered Area:- 321 Sq Mtrs","470 Sq Mtrs
Total Covered Area:- 321 Sq Mtrs",321 Sq Mtrs,13.05 Sq Mts - 90.78 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,BLOCK A; BLOCK A,47,40,1,EXCEL RETAIL SPACE,PARTNERSHIP FIRM,9979963369,excelretailspace@gmail.com,B/205 DEV ADITYA ARCADE OPP BAUGBAN PARTY PLOT SHILAJ ROAD THALTEJ AHMEDABAD Gujarat Ahmedabad 380059,"FP 433 PAIKI BESIDE ARORAVIHAR FLAT OPP ASHARFI OUTLET, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. SAMIR MAHENDRABHAI PATEL (Authorized Signatory)
2. Patel Mona Samirbhai
3. Patel Dhruva Vrushank
4. Patel Vrushank Samirbhai
5. Thakkar Hareshkumar Chandrkantbhai
6. Thakkar Kishan H
7. Thakkar Smitaben J.
8. Anuj Sureshbhai Maheruwala
9. Margi Anuj Mashruwala
10. Nagori Devang k
11. Archana nagori
12. Pradip Narendra Bhatt
13. Dharod Mehul M
14. Gogri Rajesh R
15. Shah Bhishma A
16. Thakkar Kirtibhai D
Project Estimated Cost (Rs.):- 20,07,70,969 Percentage Loan Against Project Estimated Cost :- 0 %",SAMIR MAHENDRABHAI PATEL (Authorized Signatory),Patel Mona Samirbhai,Patel Dhruva Vrushank,Patel Vrushank Samirbhai,Thakkar Hareshkumar Chandrkantbhai,"20,07,70,969",0%,9,8,NIL,4,4,NIL,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=8097,18-05-2019,Thakkar Kishan H,Thakkar Smitaben J.,Anuj Sureshbhai Maheruwala,Margi Anuj Mashruwala,380006,Nagori Devang k,Archana nagori,Pradip Narendra Bhatt,Dharod Mehul M,Gogri Rajesh R,Shah Bhishma A,Thakkar Kirtibhai D
SHAIVAL IMPERIA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00453/EX1/180619,"SHAIVAL IMPERIA, NR MITHAKHALI SIX ROADS, MITHAKHALI",Ahmedabad City,Ahmedabad,Gujarat,Commercial,COMMERCIAL SHOPS & OFFICES,15-09-2017,15-03-2020,"1260 Sq Mtrs
Total Open Area:- 688.18 Sq Mtrs
Total Covered Area:- 571.82 Sq Mtrs","688.18 Sq Mtrs
Total Covered Area:- 571.82 Sq Mtrs",571.82 Sq Mtrs,45.01 Sq Mts - 291.28 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Fire Safety, Road",Office; Shop,Building1; Building1,39,9,1,SHAIVAL COMCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9825409390,sunnypshah76@gmail.com,"201, SHAIVAL PLAZA, NR GUJARAT COLLEGE ELLISBRIDGE Gujarat Ahmedabad 380006","SHAIVAL IMPERIA, NR MITHAKHALI SIX ROADS,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. SHITAL P SHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- 23,96,31,813 Percentage Loan Against Project Estimated Cost :- 0 %",SHITAL P SHAH (Authorized Signatory),,,,,"23,96,31,813",0%,10,10,NIL,3,3,NIL,New,www.imperia.com,14-10-2017,,,,,380006,,,,,,,
SHASHWAT,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00768/201117,"Sub Plot No.16,17,18 -B, Maharashtra Society, Ellisbridge, Mithakhali, Ahmedabad - 380006",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,"Shashwat is 7 floored, 4 BHK luxurious Flat scheme. 2 flats on each floor. Total 14 flats scheme with basement parking. Situated at prime location of Ahmedabad.",14-03-2017,30-09-2018,"913.68 Sq Mtrs
Total Open Area:- 489.51 Sq Mtrs
Total Covered Area:- 424.17 Sq Mtrs","489.51 Sq Mtrs
Total Covered Area:- 424.17 Sq Mtrs",424.17 Sq Mtrs,0 Sq Mts - 0 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Total,NIL,0,0,1,Aptus Infraprojects LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9909004455,aptusinfraprojectsllp@gmail.com,"50/4, L Colony, Opp. Swaminarayan Temple, Near Nehrunagar Cross Roads, Ahmedabad Gujarat Ahmedabad 380015","Sub Plot No.16,17,18 -B, Maharashtra Society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Navin Kapoor
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",Navin Kapoor,,,,,,,4,1,NIL,1,NIL,NIL,Ongoing,www.elementsprojects.co.in,20-11-2017,,,,,380006,,,,,,,
SHETH CORPORATE TOWER,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00647/EX1/120918,OPP NAGARI HOSPITAL ROAD ELLISBRIDGE,Ahmedabad City,Ahmedabad,Gujarat,Commercial,14 STORIED COMMERCIAL TOWER,05-05-2014,31-03-2019,"1911 Sq Mtrs
Total Open Area:- 1306 Sq Mtrs
Total Covered Area:- 605 Sq Mtrs","1306 Sq Mtrs
Total Covered Area:- 605 Sq Mtrs",605 Sq Mtrs,33.86 Sq Mts - 173.48 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Garden, Lift, Security, Water Conservation, Renewable Energy, Fire Safety, Road",No inventory data available,,0,0,1,"NIRMAN HOTELS PVT. LTD.,",COMPANY,9819871666,bhaveshseth@yahoo.com,"CHAMPARANYA BUNGLOW, NEAR HOTEL PARK PLAZA ELLISBRIDGE, Gujarat Ahmedabad 380006","OPP NAGARI HOSPITAL ROAD, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. BHAVESH SHANTILAL SHETH (Authorized Signatory)
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",BHAVESH SHANTILAL SHETH (Authorized Signatory),,,,,,,6,4,NIL,2,1,NIL,Ongoing,http://www.shethdevelopers.in,09-11-2017,,,,,380006,,,,,,,
SHETH SERENITA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00875/EX2/170821,"SHANTI SADAN CHSL, BUNGLOW NO.21 INDUSIND BANK LANE, NEAR PARIMAL GARDEN",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,LUXURIOUS 7 STORIED RESIDENTIAL BUILDING WITH MODERN AMINITIES,20-10-2016,31-08-2021,"1602 Sq Mtrs
Total Open Area:- 717 Sq Mtrs
Total Covered Area:- 885 Sq Mtrs","717 Sq Mtrs
Total Covered Area:- 885 Sq Mtrs",885 Sq Mtrs,114.07 Sq Mts - 169.26 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Renewable Energy, Fire Safety, Road",Residential,Sheth Serenita,42,32,1,SHETH BUILDHOME LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9819871666,bhaveshseth@yahoo.com,"3B, 35 COURT CHAMBERS, BEHIND INCOME TAX OFFICE, NEW MARINE LINES, MUMBAI Maharashtra Mumbai City Mumbai 400020","SHANTI SADAN CHSL, BUNGLOW NO.21, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. BHAVESH SHANTILAL SHETH (Authorized Signatory)
2. SHANTILAL CHIMANLAL SHETH (Authorized Signatory)
Project Estimated Cost (Rs.):- 25,47,44,740 Percentage Loan Against Project Estimated Cost :- 0 %",BHAVESH SHANTILAL SHETH (Authorized Signatory),SHANTILAL CHIMANLAL SHETH (Authorized Signatory),,,,"25,47,44,740",0%,15,14,NIL,4,4,NIL,Ongoing,www.shethdevelopers.in,30-11-2017,,,,,380006,,,,,,,
Shreyash - 2,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01165/301217,"Shreyash 2, Opp. Bhudarpura Hall Ambawadi - 380006",Ahmedabad City,Ahmedabad,Gujarat,Mixed Development,Residential & Commercial,13-10-2017,30-06-2020,"484 Sq Mtrs
Total Open Area:- 315.6 Sq Mtrs
Total Covered Area:- 168.4 Sq Mtrs","315.6 Sq Mtrs
Total Covered Area:- 168.4 Sq Mtrs",168.4 Sq Mtrs,12.32 Sq Mts - 49.94 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- YES,YES,"Disposal of sewage water, Garden, Lift, Water Conservation, Water Supply, Fire Safety, Road",Shop; Residential,shreyas 2; shreyas 2,25,13,1,Pyramid Infrastructures,PARTNERSHIP FIRM,9824032401,rerashreyash2@gmail.com,"Cellar 2, Lalita Flats 18 Shrimali Society, Navrabgpura, Abad. Gujarat Ahmedabad 380009","Shreyash 2, Opp. Bhudarpura Hall, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Tushar S Shah (Authorized Signatory)
Project Estimated Cost (Rs.):- 5,02,47,222 Percentage Loan Against Project Estimated Cost :- 0 %",Tushar S Shah (Authorized Signatory),,,,,"5,02,47,222",0%,10,9,NIL,3,3,NIL,New,www.pyramidinfrastructure.co.in,30-12-2017,,,,,380006,,,,,,,
SHYAM KAMESHWAR HEIGHTS,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA14616/311224/300627,"SHYAM KAMESHWAR APARTMENTS, OPP. GST BHAVAN, AMABAWADI,",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,35 RESIDENTIAL UNIT,02-09-2023,30-06-2027,"Sq Mtrs
Total Open Area:- 681.09 Sq Mtrs
Total Covered Area:- 580.91 Sq Mtrs","681.09 Sq Mtrs
Total Covered Area:- 580.91 Sq Mtrs",580.91 Sq Mtrs,80.41 Sq Mts - 98.89 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,BLOCK A+B+C,35,14,1,SHYAM KAMESHWAR BUILDCON,PARTNERSHIP FIRM,9825038596,aksharassociates1995@gmail.com,"205 B BLOCK, DEVADITYA ARCADE, OPP SILVER SQUARE COMPLEX, THALTEJ GUJARAT Ahmedabad Daskroi 380059","SHYAM KAMESHWAR APARTMENTS, , Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. ANUJ SURESHBHAI MASHRUWALA
2. ARCHANA DEVANG NAGORI
3. DEVANG KRISHNACHANDRA NAGORI
4. PATEL DHRUVA VRUSHANK
5. HARESHBHAI CHANDRAKANTBHAI THAKKER (Authorized Signatory)
6. KISHAN H THAKKAR
7. MARGI ANUJ MASHRUWALA
8. MONABEN SAMIRBHAI PATEL
9. SAMIR MAHENDRABHAI PATEL
10. TARAL DEVENDRA SHAH
11. VRUSHANK SAMIR PATEL
Project Estimated Cost (Rs.):- 9,72,47,558 Percentage Loan Against Project Estimated Cost :- 0 %",ANUJ SURESHBHAI MASHRUWALA,ARCHANA DEVANG NAGORI,DEVANG KRISHNACHANDRA NAGORI,PATEL DHRUVA VRUSHANK,HARESHBHAI CHANDRAKANTBHAI THAKKER (Authorized Signatory),"9,72,47,558",0%,2,2,NIL,2,NIL,NIL,New,Not Available,31-12-2024,KISHAN H THAKKAR,MARGI ANUJ MASHRUWALA,MONABEN SAMIRBHAI PATEL,SAMIR MAHENDRABHAI PATEL,380006,TARAL DEVENDRA SHAH,VRUSHANK SAMIR PATEL,,,,,
SHYAM SMRUTI,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02960/200618,"410, LAXMI SOCIETY, B/H. AXIS BANK NR. LAW GARDEN, ELLIS BRIDGE, AHMEDABAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,"3BHK & 4BHK APARTMENT, FOR GROUND FLOOR FLATS, THEY ARE GIVEN ALONG WITH SIDE MARGIN AREA AS USAGE RIGHTS ONLY",19-02-2016,20-08-2018,"701.49 Sq Mtrs
Total Open Area:- 301.47 Sq Mtrs
Total Covered Area:- 400.02 Sq Mtrs","301.47 Sq Mtrs
Total Covered Area:- 400.02 Sq Mtrs",400.02 Sq Mtrs,106.52 Sq Mts - 133.74 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Garden, Security, Drinking Water, Water Conservation, Water Supply, Road",No inventory data available,,0,0,1,MURLIDHAR BUILDCON,PARTNERSHIP FIRM,9825024730,shyamsmrutilawgarden@gmail.com,"508, ABHIJIT-1, MITHAKHALI SIX ROADS, NAVRANGPURA Gujarat Ahmedabad 380009","410, LAXMI SOCIETY, B/H. AXIS BANK, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. KETAN S SHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",KETAN S SHAH (Authorized Signatory),,,,,,,1,1,NIL,1,1,NIL,Ongoing,www.murlidhargroup.com,20-06-2018,,,,,380006,,,,,,,
SIVANTA ONE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00520/EX1/110220,"SIVANTA ONE, OPP NALLI SILK SAREE. PRITAMNAGAR, ASHRAM ROAD, ELLIS BRIDGE.",Ahmedabad City,Ahmedabad,Gujarat,Commercial,"GROUND FLOORSHOW ROOM, 1ST TO 14TH FLOOR OFFICES.",19-08-2015,30-06-2021,"2488 Sq Mtrs
Total Open Area:- 1535 Sq Mtrs
Total Covered Area:- 953 Sq Mtrs","1535 Sq Mtrs
Total Covered Area:- 953 Sq Mtrs",953 Sq Mtrs,21.5 Sq Mts - 134.06 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Office; Shop,Block A; Block A,244,97,2,VINAYAK INFRASTRUCTURE,PARTNERSHIP FIRM,9979292176,sivanta.projects@gmail.com,"B/002 YASH PLATINUM, OPP HETARTH PARTY PLOT. SCIENCE CITY ROAD, SOLA, AHMEDABAD. Gujarat Ahmedabad Ahmedabad City 380060","SIVANTA ONE, OPP NALLI SILK SAREE., Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Kishan Anilkumar Matalia
2. Jaldip Atulkumar Mataliya (Authorized Signatory)
Project Estimated Cost (Rs.):- 51,80,62,177 Percentage Loan Against Project Estimated Cost :- 0 %",Kishan Anilkumar Matalia,Jaldip Atulkumar Mataliya (Authorized Signatory),,,,"51,80,62,177",0%,15,11,1,5,4,1,Ongoing,http://www.sivantaprojects.com,24-10-2017,,,,,380006,,,,,,,
SWARA SAPPHIRE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05043/140319,"SWARA SAPPHIRE OPP. IPS QUARTERS, AMBAVADI",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 BHK APPARTMENT,02-02-2019,30-09-2021,"994.98 Sq Mtrs
Total Open Area:- 516.39 Sq Mtrs
Total Covered Area:- 478.59 Sq Mtrs","516.39 Sq Mtrs
Total Covered Area:- 478.59 Sq Mtrs",478.59 Sq Mtrs,97.48 Sq Mts - 102.28 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply",Residential,FLAT,20,2,1,SWARA INFRASTRUCTURE,PARTNERSHIP FIRM,9824672700,kartik@swaragroup.in,"104, TRISHLA HOMES NR. THALTEJ FIRE STATION, HEBATPUR Gujarat Ahmedabad 380059","SWARA SAPPHIRE, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. KARTIK PANKAJKUMAR SONI (Authorized Signatory)
2. SANJAY DOLAJIBHAI OAD/SOLANKI
3. HIRAL PARTH SONI
4. DHRUV YOGESHKUMAR SONI
5. YASH PRAVINBHAI MISTRY
6. PAYAL HITENDRAKUMAR PATEL
7. VINODKUMAR SHRIPRAKASH TOTLA
8. JAYESH VALJIBHAI TANK
9. RISHBHA KANTILAL JAIN
Project Estimated Cost (Rs.):- 11,77,03,907 Percentage Loan Against Project Estimated Cost :- 0 %",KARTIK PANKAJKUMAR SONI (Authorized Signatory),SANJAY DOLAJIBHAI OAD/SOLANKI,HIRAL PARTH SONI,DHRUV YOGESHKUMAR SONI,YASH PRAVINBHAI MISTRY,"11,77,03,907",0%,10,9,NIL,4,3,1,New,www.swaragroup.in,14-03-2019,PAYAL HITENDRAKUMAR PATEL,VINODKUMAR SHRIPRAKASH TOTLA,JAYESH VALJIBHAI TANK,RISHBHA KANTILAL JAIN,380006,,,,,,,
SWARA SAPPHIRE-2,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA13235/030424/311226,"SWARA SAPPHIRE-2, HIRABAUG AMBAWADI, AHMEDABAD",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,3 BHK APPARTMENTS,01-11-2023,31-12-2026,"Sq Mtrs
Total Open Area:- 671.72 Sq Mtrs
Total Covered Area:- 735.28 Sq Mtrs","671.72 Sq Mtrs
Total Covered Area:- 735.28 Sq Mtrs",735.28 Sq Mtrs,70.14 Sq Mts - 111.97 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Flat,A,32,6,2,SWARA INFRABUILD,Individual/Propritorship,9824672700,swarasamanvay@gmail.com,"304, SUYOJAN MILANPARK SOC.,NR. PRESIDENT HOTEL,OFF. C G ROAD,AHMEDABAD AHMEDABAD GUJARAT Ahmedabad Ahmedabad City 380009","SWARA SAPPHIRE-2, HIRABAUG, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
No partners Present.
Project Estimated Cost (Rs.):- 7,51,05,400 Percentage Loan Against Project Estimated Cost :- 0 %",,,,,,"7,51,05,400",0%,4,4,NIL,2,NIL,NIL,New,Not Available,03-04-2024,,,,,380006,,,,,,,
SWARA SKYPARK,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA15435/300625/311228,"""SWARA SKYPARK"", Opp Diya eye Institute, Nr Parimal Cross Road, Ambawadi, Ahmeadbad",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,RESIDENTIAL,12-05-2025,31-12-2028,"Sq Mtrs
Total Open Area:- 1146.43 Sq Mtrs
Total Covered Area:- 750.57 Sq Mtrs","1146.43 Sq Mtrs
Total Covered Area:- 750.57 Sq Mtrs",750.57 Sq Mtrs,102.25 Sq Mts - 130.71 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Flat,A,50,38,1,SWARA BUILDERS,PARTNERSHIP FIRM,7069540866,swarabuilder@gmail.com,"8A JIVAN SMRUTI SOCIETY,NR MIRAMBIKA SCHOOL, NARANPURA,AHMEDABAD, GUJARAT Ahmedabad Ahmedabad City 380013","""SWARA SKYPARK"", Opp Diya eye Institute, Nr Parimal Cross Road,, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. KARTIK PANKAJKUMAR SONI (Authorized Signatory)
2. MEHUL VIKRAMSINH GOHIL
3. ANILKUMAR HEMCHAND MEHTA
4. PRAVIN PREMCHAND MORBIA
5. AAKASH JATINKUMAR SHAH
6. RIDDHI KARTIK SONI
7. FALGUNI P SHAH
8. BHAVIKABEN MEHTA
Project Estimated Cost (Rs.):- 37,39,91,796 Percentage Loan Against Project Estimated Cost :- 0 %",KARTIK PANKAJKUMAR SONI (Authorized Signatory),MEHUL VIKRAMSINH GOHIL,ANILKUMAR HEMCHAND MEHTA,PRAVIN PREMCHAND MORBIA,AAKASH JATINKUMAR SHAH,"37,39,91,796",0%,NIL,NIL,NIL,1,NIL,NIL,New,Not Available,30-06-2025,RIDDHI KARTIK SONI,FALGUNI P SHAH,BHAVIKABEN MEHTA,,380006,,,,,,,
Takshashila Air,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00058/A1R/EX1/170120,"plot no 560 B/h Town hall, Ellisbridge Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Takshashila Air Residential project consisting G+25 floor Total 194 3BHK/4BHK apartment,16-05-2016,30-06-2021,"4682.67 Sq Mtrs
Total Open Area:- 2726.54 Sq Mtrs
Total Covered Area:- 1956.13 Sq Mtrs","2726.54 Sq Mtrs
Total Covered Area:- 1956.13 Sq Mtrs",1956.13 Sq Mtrs,79.37 Sq Mts - 218.77 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Residential,Tower A,196,95,2,TAKSHASHILA CORPORATION LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9824039584,kgondalia@takshashilaair.com,"Plot no.560, B/h Town hall Ellisbridge Gujarat Ahmedabad 380006","plot no 560 B/h Town hall, Ellisbridge, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Vikash Gondalia (Authorized Signatory)
Project Estimated Cost (Rs.):- 2,22,45,17,116 Percentage Loan Against Project Estimated Cost :- 38.49 %",Vikash Gondalia (Authorized Signatory),,,,,"2,22,45,17,116",38.49%,15,10,NIL,4,3,NIL,Ongoing,http://www.takshashilaair.com/,02-09-2017,,,,,380006,,,,,,,
TAKSHASHILA ELEGNA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06191/181019,"Takshashila Elegna, Beside Fortune Park Hotel, Opp. Gujarat College, Mithakhali, Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Mixed Development,2&3 BHK Apartment & Showrooms,18-09-2019,30-09-2025,"7646.64 Sq Mtrs
Total Open Area:- 4788.81 Sq Mtrs
Total Covered Area:- 2857.83 Sq Mtrs","4788.81 Sq Mtrs
Total Covered Area:- 2857.83 Sq Mtrs",2857.83 Sq Mtrs,53.97 Sq Mts - 164.63 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Community Hall, Fire Safety, Road",Residential; Other,A+B; A+B,279,103,2,TAKSHASHILA HEIGHTS INDIA PRIVATE LIMITED,COMPANY,9824039584,takshashilaelegna@gmail.com,"560, Silver Arc-""B"", Open Plot, Nr. Ashima House Town Hall, Madalpur, Ellisbridge, GUJARAT Ahmedabad Ahmedabad City 380006","Takshashila Elegna, Beside Fortune Park Hotel, , Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. PARTHIL KAMLESHKUMAR GONDALIYA (Authorized Signatory)
2. KAMLESHBHAI KESHAVBHAI GONDALIA
Project Estimated Cost (Rs.):- 2,13,78,76,031.01 Percentage Loan Against Project Estimated Cost :- 0 %",PARTHIL KAMLESHKUMAR GONDALIYA (Authorized Signatory),KAMLESHBHAI KESHAVBHAI GONDALIA,,,,"2,13,78,76,031.01",0%,22,11,3,6,3,NIL,New,www.takshashilaelegna.com,18-10-2019,,,,,380006,,,,,,,
The Central Park,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00620/071117,"Opp. Law Garden Police Chowki, Near BOB Law Garden, Ellisbridge, Ahmedabad - 380006",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,It is 4BHK High End Luxurious residential apartment scheme 11 storied building with two basement parking Total 22 units two units on each floor,10-05-2017,30-09-2019,"1555.66 Sq Mtrs
Total Open Area:- 1074.3 Sq Mtrs
Total Covered Area:- 481.36 Sq Mtrs","1074.3 Sq Mtrs
Total Covered Area:- 481.36 Sq Mtrs",481.36 Sq Mtrs,190.8 Sq Mts - 190.8 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Water Conservation, Water Supply, Fire Safety, Road",Residential,The Central Park,22,4,1,Aptus Infraprojects LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9909004455,aptusinfraprojectsllp@gmail.com,"50/4, L Colony, Opp. Swaminarayan Temple, Near Nehrunagar Cross Roads, Ahmedabad Gujarat Ahmedabad 380015","Opp. Law Garden Police Chowki, Near BOB, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Navin Kapoor
Project Estimated Cost (Rs.):- 44,28,79,980 Percentage Loan Against Project Estimated Cost :- 0 %",Navin Kapoor,,,,,"44,28,79,980",0%,8,3,NIL,2,1,NIL,Ongoing,www.elementsprojects.co.in,07-11-2017,,,,,380006,,,,,,,
